product_name,correct_category
ทีโอเอ ชิลด์วัน นาโน สีน้ำ กึ่งเงา ภายนอก เบส 2.5 แกลลอน #000A,สีและเคมีภัณฑ์
ข้องอ 90 เกลียวในทองเหลือง-หนา ฟ้า 18,สุขภัณฑ์
ทีโอเอ ชิลด์วัน นาโน สีน้ำ ชนิดด้าน สำหรับภายนอก เบสดี บรรจุ 2.5 แกลลอน,สีและเคมีภัณฑ์
ไม้ฝา เอสซีจี 0.8 ซม.,วัสดุผนังและฝ้า
เสือ มอร์ตาร์ ปูนฉาบอิฐมวลเบา บรรจุถุง 50 กิโลกรัม,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
ลวดเชื่อมเปลือยใช้เชื่อมเหล็กกล้าละมุนด้วยอาร์กโดยมีก๊าซปกคลุม FAMILIARC MG -50 เส้นผ่านศูนย์กลาง 1.2 มิลลิเมตร ขนาด 300 กิโลกรัม ARROW PACK,ผลิตภัณฑ์เหล็ก
เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น ชนิดท่อเหลี่ยมเคลือบสี ขนาด 203.2 x 101.6 มิลลิเมตร ความหนา 4.78 - 9.52 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
เหล็กแถบรีดร้อน ขนาด 213 มม. หนา 1.40 - 3.20 มม.,ผลิตภัณฑ์เหล็ก
ท่อเหล็กแบนดำ 100 x 50 x 1.55 มม.,ผลิตภัณฑ์เหล็ก
จระเข้ ไพร์มเมอร์ เอส ขนาด 20 ลิตร,สีและเคมีภัณฑ์
"ท่อเหล็กเหลี่ยมกัลวาไนซ์ 1-1/4""x1-1/4""x 0.80 - 3.20 มม.",ผลิตภัณฑ์เหล็ก
ท่อกลมดำ ขนาด 1/2 นิ้ว ความหนา 1.20 - 2.30 มิลลิเมตร,ผลิตภัณฑ์เหล็ก
สีน้ำภายนอก TOA SHIELD EXPERT#000B 1 แกลลอน,สีและเคมีภัณฑ์
ตะแกรงเหล็กกล้าเชื่อมติดเสริมคอนกรีตแบบลวดเส้นกลม CDR (ตะแกรงเหล็กไวร์เมช) ขนาด 4.0 mm. ขนาดตาราง 20x20 cm.,ผลิตภัณฑ์เหล็ก
ปูนซีเมนต์สำเร็จรูป เสือเดคอร์ ฉาบสีเท็กซ์เจอร์ GY02Worm บรรจุถุง,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
แผ่นชิ้นไม้อัดซีเมนต์ เครื่องหมายการค้า วีว่า บอร์ด,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
กระเบื้องปูพื้น เอสซีจี รุ่น เวนโทลา 30 x 30 x 3.5 ซม.,กระเบื้องและเซรามิก
ไม้ระแนง เอสซีจี 0.8 ซม.,วัสดุผนังและฝ้า
ฉนวนยาง Aeroflex-HF 13 mm,ฉนวนกันความร้อน
สีน้ำซุปเปอร์ชิลด์ ชนิดกึ่งเงา เบส ซี บรรจุ 5 แกลลอน,สีและเคมีภัณฑ์
กระเบื้องบุผนัง คัมพานา 20x40 ซม.,กระเบื้องและเซรามิก
ปูนทนน้ำทะเล เอสซีจี,ปูนซีเมนต์และผลิตภัณฑ์คอนกรีต
